Kodiak,Kodiak Electric Assn Inc,Kodiak Island,57.785,-152.4247,29439,23958,OIL,Alaska,AK
Kotzebue,Kotzebue Electric Assn Inc,Northwest Arctic,67.0586,-159.7075,22485,16180,OIL,Alaska,AK
Lemon Creek,Alaska Electric Light & Power Co,Juneau,58.3514,-134.4986,3382,3849,OIL,Alaska,AK
McGrath,McGrath Light & Power Co,Yukon-Koyukuk,65.5002,-151.4198,2511,1746,OIL,Alaska,AK
Mountain Village,Alaska Village Elec Coop Inc,Bethel,60.9214,-159.7663,2560,2096,OIL,Alaska,AK
Naknek,Naknek Electric Assn Inc,Bristol Bay,58.7436,-156.7069,21839,15187,OIL,Alaska,AK
New Halen,I-N-N Electric Coop Inc,Lake And Peninsula,58.6665,-156.1786,295,281,OIL,Alaska,AK
Nikiski Co-Generation,Homer Electric Assn Inc,Kenai Peninsula,59.5631,-150.2779,331829,165015,GAS,Alaska,AK
Noorvik,Alaska Village Elec Coop Inc,Northwest Arctic,67.0586,-159.7075,1972,1699,OIL,Alaska,AK
North Pole,Golden Valley Electric Assn Inc,Fairbanks,64.7356,-147.3481,545469,439719,OIL,Alaska,AK
Northway,Alaska Power Co,Southeast Fairbanks,63.8718,-143.3641,1330,1082,OIL,Alaska,AK
NSB Anaktuvuk Pass,North Slope Borough Power & Light,North Slope,69.303,-153.3903,4000,2512,OIL,Alaska,AK
NSB Atquasuk Utility,North Slope Borough Power & Light,North Slope,69.303,-153.3903,2000,1954,OIL,Alaska,AK
NSB Kaktovik Utility,North Slope Borough Power & Light,North Slope,69.303,-153.3903,3000,2086,OIL,Alaska,AK
NSB Nuiqsut Utility,North Slope Borough Power & Light,North Slope,69.303,-153.3903,4000,2782,OIL,Alaska,AK
NSB Point Hope Utility,North Slope Borough Power & Light,North Slope,69.303,-153.3903,5000,3477,OIL,Alaska,AK
NSB Point Lay Utility,North Slope Borough Power & Light,North Slope,69.303,-153.3903,2000,1391,OIL,Alaska,AK
NSB Wainwright Utility,North Slope Borough Power & Light,North Slope,70.5986,-160.0614,5000,3477,OIL,Alaska,AK
Nymans Plant,Kodiak Electric Assn Inc,Kodiak Island,57.1451,-153.4767,25041,21618,OIL,Alaska,AK
Orca,Cordova Electric Coop Inc,Valdez-Cordova,61.5695,-144.4363,11287,9391,OIL,Alaska,AK
Pelican,Pelican Utility,Skagway-Hoonah-Angoon,58.2202,-136.6293,2257,606,HYDRO,Alaska,AK
Petersburg,Petersburg City of,Wrangell-Petersburg,56.6099,-132.7078,14502,832,HYDRO,Alaska,AK
Port Lions,Kodiak Electric Assn Inc,Kodiak Island,57.1451,-153.4767,-69,29,OIL,Alaska,AK
Power Creek,Cordova Electric Coop Inc,Valdez-Cordova,61.5695,-144.4363,15291,0,HYDRO,Alaska,AK
Purple Lake,Metlakatla Power & Light,Ketchikan,55.5641,-131.3782,13192,0,HYDRO,Alaska,AK
S W Bailey,Ketchikan Public Utilities,Ketchikan,55.5641,-131.3782,943,1792,OIL,Alaska,AK
Salmon Creek 1,Alaska Electric Light & Power Co,Juneau,58.4609,-134.1781,27087,0,HYDRO,Alaska,AK
Selawik,Alaska Village Elec Coop Inc,Northwest Arctic,67.0586,-159.7075,2906,2325,OIL,Alaska,AK
Seldovia,Homer Electric Assn Inc,Kenai Peninsula,59.4373,-151.715,382,304,OIL,Alaska,AK
Seward,Seward City of,Kenai Peninsula,59.5631,-150.2779,2811,449,OIL,Alaska,AK
Shishmaref,Alaska Village Elec Coop Inc,Nome,64.8963,-163.975,1578,1344,OIL,Alaska,AK
Silvis,Ketchikan Public Utilities,Ketchikan,55.5641,-131.3782,11813,0,HYDRO,Alaska,AK
Skagway,Alaska Power Co,Skagway-Hoonah-Angoon,59.4583,-135.3139,4163,696,HYDRO,Alaska,AK
Snake River,Nome Joint Utility Systems,Nome,64.5033,-165.4357,27816,22207,OIL,Alaska,AK
Snettisham,Alaska Electric Light & Power Co,Juneau,58.4609,-134.1781,306208,0,HYDRO,Alaska,AK
Solomon Gulch,Copper Valley Electric Assn Inc,Valdez-Cordova,61.5695,-144.4363,34556,0,HYDRO,Alaska,AK
South Fork,Alaska Power Co,Prince of Wales,55.9248,-131.1379,6961,0,HYDRO,Alaska,AK
St Marys,Alaska Village Elec Coop Inc,Bethel,60.9214,-159.7663,2875,1999,OIL,Alaska,AK
Swan Lake,Ketchikan Public Utilities,Ketchikan,55.5641,-131.3782,81205,0,HYDRO,Alaska,AK
Terror Lake,Kodiak Electric Assn Inc,Kodiak Island,57.1451,-153.4767,91915,0,HYDRO,Alaska,AK
Tesoro Alaska Petroleum,Tesoro Corp,Kenai Peninsula,60.677,-151.3815,61354,30559,GAS,Alaska,AK
Thorne Bay Plant,Alaska Power Co,Prince of Wales,55.9248,-131.1379,-27,39,OIL,Alaska,AK
Togiak,Alaska Village Elec Coop Inc,Dillingham,59.8028,-158.2207,2572,1789,OIL,Alaska,AK
Tok,Alaska Power Co,Southeast Fairbanks,63.8718,-143.3641,11856,9041,OIL,Alaska,AK
Unalakleet,Matanuska Electric Assn Inc,Matanuska-Susitna,62.3146,-149.5714,4012,2790,OIL,Alaska,AK
Unalaska Power Module,Unalaska City of,Aleutians West,53.8574,-166.5528,4204,3517,OIL,Alaska,AK
Unisea G 2,Unisea Inc,Aleutians West,53.4554,-167.0261,34494,16922,OIL,Alaska,AK
University of Alaska Fairbanks,University of Alaska,Fairbanks,64.8542,-147.822,55539,34430,COAL,Alaska,AK
Utility Plants Section,U S Army,Fairbanks,64.6715,-147.0772,103282,63984,COAL,Alaska,AK
Valdez,Copper Valley Electric Assn Inc,Valdez-Cordova,61.5695,-144.4363,1260,1803,OIL,Alaska,AK
Valdez Cogen,Copper Valley Electric Assn Inc,Valdez-Cordova,61.5695,-144.4363,32394,22004,OIL,Alaska,AK
Viking,Alaska Power Co,Prince of Wales,55.9248,-131.1379,51,74,OIL,Alaska,AK
Westward Seafoods,Westward Seafoods Inc,Aleutians West,53.4554,-167.0261,20155,13441,OIL,Alaska,AK
Wrangell,Wrangell City of,Wrangell-Petersburg,56.4522,-132.3683,447,404,OIL,Alaska,AK
Yakutat,Yakutat Power Inc,Skagway-Hoonah-Angoon,58.2202,-136.6293,6343,4411,OIL,Alaska,AK
ABC Coke,Drummond Company Inc,Jefferson,33.5823,-86.787,30674,15254,OTHRFOSL,Alabama,AL
Alabama Pine Pulp,Alabama Pulp Co Inc,Monroe,31.5825,-87.4889,428955,8096,BIOMASS,Alabama,AL
Alabama River Pulp,Alabama Pulp Co Inc,Monroe,31.5825,-87.4889,335192,15751,BIOMASS,Alabama,AL
Albertville,Tennessee Valley Authority,Marshall,34.3716,-86.3033,31,15,OIL,Alabama,AL
AMEA Peaking,Alabama Municipal Elec Authority,Talladega,33.1661,-86.2825,25105,14786,GAS,Alabama,AL
Bankhead Dam,Alabama Power Co,Tuscaloosa,33.2146,-87.5882,44242,0,HYDRO,Alabama,AL
Barry,Alabama Power Co,Mobile,31.0069,-88.0103,15152333,13088498,COAL,Alabama,AL
Bartletts Ferry,Georgia Power Co,Lee,32.6631,-85.0911,200629,0,HYDRO,Alabama,AL
Boise Cascade Pulp & Paper Mill,Boise Cascade Corp,Clarke,31.4894,-87.8989,126658,22296,GAS,Alabama,AL
Browns Ferry,Tennessee Valley Authority,Limestone,34.7042,-87.1189,21227260,0,NUCLEAR,Alabama,AL
Calhoun Energy Center,NextEra Energy Resources,Calhoun,33.5883,-85.9731,455631,298488,GAS,Alabama,AL
Charles R Lowman,Alabama Electric Coop Inc,Washington,31.4858,-87.9106,3571343,4400995,COAL,Alabama,AL
Chunchula Plant 1,Chevron Corp,Mobile,30.7943,-88.2102,4720,1606,GAS,Alabama,AL
Colbert,Tennessee Valley Authority,Colbert,34.7439,-87.8486,7549177,8007983,COAL,Alabama,AL
Crestwood Dothan,Crestwood Corp,Houston,31.2592,-85.4011,793,678,OIL,Alabama,AL
Decatur Energy Center,Calpine,Morgan,34.6292,-87.0214,2381371,1213585,GAS,Alabama,AL
District 100 Transco Gas Pipe Line,Transcontinental Gas PL Corp,Chilton,32.6708,-86.7205,108,1317,GAS,Alabama,AL
E B Harris Electric Generating Plant,Southern Power Co,Autauga,32.3814,-86.5736,3352908,1416762,GAS,Alabama,AL
E C Gaston,Alabama Power Co,Shelby,33.2442,-86.4567,12122564,12975464,COAL,Alabama,AL
ExxonMobil Mobile Bay Onshore,Exxon Mobil,Mobile,30.7943,-88.2102,46295,29589,GAS,Alabama,AL
Fairfield Works,United States Steel Corporation,Jefferson,33.4885,-86.9212,211303,121935,GAS,Alabama,AL
Gadsden,Alabama Power Co,Etowah,34.0128,-85.9708,514715,563113,COAL,Alabama,AL
Gantt,Alabama Electric Coop Inc,Covington,31.4,-86.4753,3678,0,HYDRO,Alabama,AL
General Electric Plastic,Alabama Power Co,Lowndes,32.3102,-86.5242,554367,241298,GAS,Alabama,AL
Georgia Pacific Brewton Mill,Georgia Pacific,Escambia,31.077,-87.1113,297330,15571,BIOMASS,Alabama,AL
Georgia Pacific Naheola Mill,Georgia Pacific,Choctaw,32.2268,-88.0252,381642,48816,BIOMASS,Alabama,AL
